"Hospital","Ph_no","Street","Suburb","Pcode","State","LHN","PHN","Website","Description","Sector","Beds","Lat","Long","bed_grp","ED","Regional","Size","Special","web_address"
"Albury Wodonga Private Hospital","02 6041 1411","1125 Pemberton Street","West Albury",2640,"NSW","","","www.alburywodongaprivate.com.au","","Private","100-199",-36.075621,146.883177,3,0,0,0,0,"https://www.alburywodongaprivate.com.au"
"Alexandra District Hospital","03 5772 0900","12 Cooper Street","Alexandra",3714,"Vic","Alexandra District Hospital","Murray","","Small hospital","Public","<50",-37.195065,145.716143,1,0,0,1,0,"https://www.myhospitals.gov.au"
"Alice Springs Hospital","08 8951 7777","6 Gap Road","Alice Springs",870,"NT","Central Australia (NT)","Northern Territory","www.health.nt.gov.au/Hospitals/Alice_Springs_Hospital/index.aspx","Large regional hospital with an emergency department","Public","100-199",-23.705758,133.878064,3,1,1,3,0,"https://www.health.nt.gov.au/Hospitals/Alice_Springs_Hospital/index.aspx"
"Allowah Presbyterian Children's Hospital","02 9858 4994","8 Perry Street","Dundas",2117,"NSW","","","www.allowah.org.au","","Private","<50",-33.791787,151.06387,1,0,0,0,0,"https://www.allowah.org.au"
"Alpha Hospital","07 4809 7000","1 Burns Street","Alpha",4724,"Qld","Central West (Qld)","Western Queensland","http://www.centralwest.health.qld.gov.au/our-locations/alpha","Regional hospital","Public","<50",-23.649039,146.632962,1,0,1,0,0,"http://www.centralwest.health.qld.gov.au/our-locations/alpha"
"Alpine Health [Bright]","03 5755 0100","36-42 Cobden Street","Bright",3741,"Vic","Alpine Health (Vic)","Murray","www.alpinehealth.org.au","Small hospital","Public","<50",-36.732701,146.965924,1,0,0,1,0,"https://www.alpinehealth.org.au"
"Alpine Health [Mount Beauty]","03 5754 3500","10 Hollonds Street","Mt Beauty",3699,"Vic","Alpine Health (Vic)","Murray","www.alpinehealth.org.au","Regional hospital","Public","<50",-36.743354,147.169359,1,0,1,0,0,"https://www.alpinehealth.org.au"
"Alpine Health [Myrtleford]","03 5751 9300","30 O'Donnell Avenue","Myrtleford",3736,"Vic","Alpine Health (Vic)","Murray","www.alpinehealth.org.au","Regional hospital","Public","<50",-36.554525,146.728795,1,0,1,0,0,"https://www.alpinehealth.org.au"
"Angaston District Hospital","08 8563 8500","29 North Street","Angaston",5353,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/angastonhospital","Small hospital","Public","<50",-34.503549,139.054715,1,0,0,1,0,"https://www.sahealth.sa.gov.au/angastonhospital"
"Angliss Hospital","1300 342 255","Albert Street","Upper Ferntree Gully",3156,"Vic","Eastern Health (Vic)","Eastern Melbourne","https://www.easternhealth.org.au/locations/angliss-hospital/item/215","Medium metropolitan hospital with an emergency department","Public","100-199",-37.898663,145.314166,3,1,0,2,0,"https://www.easternhealth.org.au/locations/angliss-hospital/item/215"
"Armadale-Kelmscott Memorial Hospital","08 9391 2000","3056 Albany Highway","Armadale",6112,"WA","East Metropolitan Health Service (WA)","Perth South","www.health.wa.gov.au/services/detail.cfm?Unit_ID=6","Large metropolitan hospital with an emergency department","Public","200-500",-32.133212,116.020023,4,1,0,3,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=6"
"Armidale Hospital","02 6776 9500","226 Rusden Street","Armidale",2350,"NSW","Hunter New England","Hunter New England and Central Coast","","Medium regional hospital with an emergency department","Public","50-99",-30.512726,151.655629,2,1,1,2,0,"https://www.myhospitals.gov.au"
"Armidale Private Hospital","02 6771 4000","Rusden Street","Armidale",2350,"NSW","","","","","Private","<50",-30.512719,151.654565,1,0,0,0,0,"https://www.myhospitals.gov.au"
"Ashford Hospital","08 8375 5222","55 Anzac Highway","Ashford",5035,"SA","","","www.ashfordhospital.org.au","","Private","200-500",-34.948142,138.576725,4,0,0,0,0,"https://www.ashfordhospital.org.au"
"Atherton Hospital","07 4091 0211","Corner of Louise and Jack Streets","Atherton",4883,"Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_ath_hosp.asp","Small hospital","Public","50-99",-17.266635,145.483177,2,0,0,1,0,"https://www.health.qld.gov.au/services/cairns-hinterland/cairns_ath_hosp.asp"
"Attadale Rehabilitation Hospital","08 9330 1000","21 Hislop Road","Attadale",6156,"WA","","","www.attadalerehabilitation.com.au","","Private","<50",-32.029729,115.810669,1,0,0,0,0,"https://www.attadalerehabilitation.com.au"
"Auburn Hospital","02 8759 3000","18-20 Hargrave Road","Auburn",2144,"NSW","Western Sydney","Western Sydney","www.wslhd.health.nsw.gov.au/Auburn-Hospital","Medium metropolitan hospital with an emergency department","Public","100-199",-33.859867,151.033204,3,1,0,2,0,"https://www.wslhd.health.nsw.gov.au/Auburn-Hospital"
"Augathella Hospital","07 4656 7100","Cavanagh Street","Augathella",4477,"Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_auga_hosp.asp","Regional hospital","Public","<50",-25.796104,146.590919,1,0,1,0,0,"https://www.health.qld.gov.au/services/southwest/swest_auga_hosp.asp"
"Augusta Hospital","08 9758 3222","Donovan Street","Augusta",6290,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=10","Regional hospital","Public","<50",-34.305814,115.157983,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=10"
"Austin Hospital [Heidelberg]","03 9496 5000","145 Studley Road","Heidelberg",3084,"Vic","Austin Health (Vic)","Eastern Melbourne","www.austin.org.au","Major hospital with an emergency department","Public",">500",-37.756355,145.060236,5,1,0,4,0,"https://www.austin.org.au"
"Ayr Hospital","07 4783 0855","2 Chippendale Street","Ayr",4807,"Qld","Townsville","Northern Queensland","www.health.qld.gov.au/services/townsville/tville_ayr_hosp.asp","Small hospital","Public","<50",-19.564066,147.408821,1,0,0,1,0,"https://www.health.qld.gov.au/services/townsville/tville_ayr_hosp.asp"
"Babinda Hospital","07 4067 8200","128 Munro Street","Babinda",4861,"Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_babin_hosp.asp","Regional hospital","Public","<50",-17.343079,145.918908,1,0,1,0,0,"https://www.health.qld.gov.au/services/cairns-hinterland/cairns_babin_hosp.asp"
"Baillie Henderson Hospital","07 4699 8888","Corner of Hogg and Tor Streets","Toowoomba",4350,"Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-baillie-hosp.asp","Specialist psychiatric hospital","Public","100-199",-27.524371,151.936283,3,0,0,0,1,"https://www.health.qld.gov.au/services/darlingdowns/ddowns-baillie-hosp.asp"
"Bairnsdale Regional Health Service","03 5150 3333","122 Day Street","Bairnsdale",3875,"Vic","Bairnsdale Regional Health Service","Gippsland","","Small hospital with an emergency department","Public","100-199",-37.830814,147.607905,3,1,0,1,0,"https://www.myhospitals.gov.au"
"Balaklava Soldiers' Memorial District Hospital","08 8862 1400","16 War Memorial Drive","Balaklava",5461,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/balaklavahospital","Regional hospital","Public","<50",-34.139594,138.419596,1,0,1,0,0,"https://www.sahealth.sa.gov.au/balaklavahospital"
"Ballarat Day Procedure Centre","03 5338 2666","1119-1123 Howitt Street","Wendouree",3350,"Vic","","","http://www.curagroup.com.au/ballarat-day-procedure-centre/","","Private","<50",-37.540799,143.83214,1,0,0,0,0,"http://www.curagroup.com.au/ballarat-day-procedure-centre/"
"Ballarat Health Services [Base Campus]","03 5320 4000","1 Dummond Street North","Ballarat Central",3350,"Vic","Ballarat Health Services","Western Victoria","www.bhs.org.au","Large regional hospital with an emergency department","Public","200-500",-37.559658,143.847041,4,1,1,3,0,"https://www.bhs.org.au"
"Ballarat Health Services [Queen Elizabeth Campus]","03 5320 3700","102 Ascot Street","Ballarat",3350,"Vic","Ballarat Health Services","Western Victoria","www.bhs.org.au","Regional hospital","Public","50-99",-37.564276,143.843264,2,0,1,0,0,"https://www.bhs.org.au"
"Ballina Day Surgery","02 6681 9999","Suite 6, 46 Tamar Street","Ballina",2478,"NSW","","","","","Private","<50",-28.870711,153.563241,1,0,0,0,0,"https://www.myhospitals.gov.au"
"Ballina Hospital","02 6686 2111","78-92 Cherry Street","Ballina",2478,"NSW","Northern NSW","North Coast","","Small hospital with an emergency department","Public","50-99",-28.863525,153.564013,2,1,0,1,0,"https://www.myhospitals.gov.au"
"Balmain Hospital","02 9395 2111","29 Booth Street","Balmain",2041,"NSW","Sydney","Central and Eastern Sydney","www.sswahs.nsw.gov.au/balmain/default.html","Metropolitan hospital","Public","50-99",-33.859469,151.181469,2,0,0,0,0,"https://www.sswahs.nsw.gov.au/balmain/default.html"
"Balranald Multi Purpose Service","03 5071 9800","41-43 Court Street","Balranald",2715,"NSW","Far West","Western NSW","","Regional hospital with an emergency department","Public","<50",-34.644549,143.568413,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Bamaga Hospital","07 4069 3166","Sagaukaz Street","Bamaga",4876,"Qld","Torres and Cape","Northern Queensland","https://www.health.qld.gov.au/services/torres-cape/torres_bamaga_hosp","Regional hospital","Public","<50",-10.893996,142.385131,1,0,1,0,0,"https://www.health.qld.gov.au/services/torres-cape/torres_bamaga_hosp"
"Bankstown Lidcombe Hospital","02 9722 8000","68 Eldridge Road","Bankstown",2200,"NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/bankstown/","Large metropolitan hospital with an emergency department","Public","200-500",-33.933088,151.020823,4,1,0,3,0,"https://www.swslhd.health.nsw.gov.au/bankstown/"
"Baradine Multi Purpose Service","02 6843 4100","5-9 Macquarie Street","Baradine",2396,"NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-30.945316,149.066189,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Baralaba Hospital","07 4998 2800","Stopford Street","Baralaba",4702,"Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/baralaba.asp","Regional hospital","Public","<50",-24.184268,149.809586,1,0,1,0,0,"https://www.health.qld.gov.au/services/central-queensland/baralaba.asp"
"Barcaldine Hospital","07 4650 4000","Oak Street","Barcaldine",4725,"Qld","Central West (Qld)","Western Queensland","www.health.qld.gov.au/services/centralwest/cwest_barc_hosp.asp","Regional hospital","Public","<50",-23.553316,145.293674,1,0,1,0,0,"https://www.health.qld.gov.au/services/centralwest/cwest_barc_hosp.asp"
"Barham Hospital","03 5451 1000","70 Punt Road","Barham",2732,"NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.623823,144.133479,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Baringa Private Hospital","02 6659 4444","31 Mackays Road","Coffs Harbour",2450,"NSW","","","www.baringaprivate.com.au","","Private","50-99",-30.278813,153.102893,2,0,0,0,0,"https://www.baringaprivate.com.au"
"Barmera Health Service","08 8588 0400","Hawdon Street","Barmera",5345,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/barmerahospital","Regional hospital","Public","<50",-34.249146,140.471706,1,0,1,0,0,"https://www.sahealth.sa.gov.au/barmerahospital"
"Barraba Multi Purpose Service","02 6782 2500","Edward Street","Barraba",2347,"NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-30.382482,150.605778,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Bass Coast Regional Health","03 5671 3333","235 Graham Street","Wonthaggi",3995,"Vic","Bass Coast Regional Health","Gippsland","www.bcrh.com.au","Small hospital with an emergency department","Public","50-99",-38.608747,145.580906,2,1,0,1,0,"https://www.bcrh.com.au"
"Batemans Bay Hospital","02 4475 1500","7 Pacific Street","Batemans Bay",2536,"NSW","Southern NSW","South Eastern NSW","","Small hospital with an emergency department","Public","<50",-35.714055,150.182375,1,1,0,1,0,"https://www.myhospitals.gov.au"
"Bathurst Health Service","02 6330 5311","361-365 Howick Street","Bathurst",2795,"NSW","Western NSW","Western NSW","","Large regional hospital with an emergency department","Public","100-199",-33.406512,149.572699,3,1,1,3,0,"https://www.myhospitals.gov.au"
"Bathurst Private Hospital","02 6331 7766","Gorman's Hill Road","Bathurst",2795,"NSW","","","www.bathurstprivate.com.au","","Private","<50",-33.435215,149.589242,1,0,0,0,0,"https://www.bathurstprivate.com.au"
"Batlow/Adelong Multi Purpose Service","02 6941 4333","61-81 Pioneer Street","Batlow",2730,"NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.521951,148.147891,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Beaconsfield District Health Service","03 6702 6060","13 Bolton Street","Beaconsfield",7270,"Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/beaconsfield_district_health_service","Regional hospital","Public","<50",-41.193478,146.806719,1,0,1,0,0,"https://www.dhhs.tas.gov.au/service_information/service_delivery_points/beaconsfield_district_health_service"
"Beaudesert Hospital","07 5541 9111","64 Tina Street","Beaudesert",4285,"Qld","Metro South (Qld)","Brisbane South","www.health.qld.gov.au/services/metrosouth/beau-hosp.asp","Regional hospital","Public","<50",-27.984869,153.002536,1,0,1,0,0,"https://www.health.qld.gov.au/services/metrosouth/beau-hosp.asp"
"Beaufort & Skipton Health Service [Beaufort]","03 5349 1600","28 Havelock Street","Beaufort",3373,"Vic","Beaufort and Skipton Health Service","Western Victoria","www.bashs.org.au/services","Regional hospital","Public","<50",-37.431028,143.382284,1,0,1,0,0,"https://www.bashs.org.au/services"
"Beaufort & Skipton Health Service [Skipton]","03 5340 1100","Blake Street","Skipton",3361,"Vic","Beaufort and Skipton Health Service","Western Victoria","www.bashs.org.au/services","Regional hospital","Public","<50",-37.683998,143.367547,1,0,1,0,0,"https://www.bashs.org.au/services"
"Beechworth Health Service","03 5728 0200","52 Sydney Road","Beechworth",3747,"Vic","Beechworth Health Service","Murray","www.beechworthhealthservice.com.au","Regional hospital","Public","<50",-36.349359,146.690739,1,0,1,0,0,"https://www.beechworthhealthservice.com.au"
"Bega Valley Private Hospital","02 6492 4144","31 Parker Street","Bega",2550,"NSW","","","www.pulsehealth.net.au","","Private","<50",-36.673617,149.845812,1,0,0,0,0,"https://www.pulsehealth.net.au"
"Beleura Private Hospital","03 5976 0888","925 Nepean Highway","Mornington",3931,"Vic","","","www.beleuraprivate.com.au","","Private","100-199",-38.225484,145.049136,3,0,0,0,0,"https://www.beleuraprivate.com.au"
"Bellbird Private Hospital","03 9845 2333","198 Canterbury Road","Blackburn South",3130,"Vic","","","www.bellbirdprivatehospital.com.au","","Private","<50",-37.833073,145.156018,1,0,0,0,0,"https://www.bellbirdprivatehospital.com.au"
"Bellinger River District Hospital","02 6659 5800","43 Church Street","Bellingen",2454,"NSW","Mid North Coast","North Coast","","Small hospital with an emergency department","Public","<50",-30.457256,152.893209,1,1,0,1,0,"https://www.myhospitals.gov.au"
"Belmont Hospital","02 4923 2000","16 Croudace Bay Road","Belmont",2280,"NSW","Hunter New England","Hunter New England and Central Coast","","Medium metropolitan hospital with an emergency department","Public","100-199",-33.024631,151.648181,3,1,0,2,0,"https://www.myhospitals.gov.au"
"Benalla & District Memorial Hospital","03 5760 2222","45-53 Coster Street","Benalla",3672,"Vic","Benalla and District Memorial Hospital","Murray","www.benallahospital.com.au","Small hospital","Public","50-99",-36.555239,145.994675,2,0,0,1,0,"https://www.benallahospital.com.au"
"Bendigo Health Care Group [Anne Caudle]","03 5454 6000","100 Barnard Street","Bendigo",3550,"Vic","Bendigo Health Care Group","Murray","www.bendigohealth.com.au","Regional hospital","Public","<50",-36.750919,144.280399,1,0,1,0,0,"https://www.bendigohealth.com.au"
"Bentley Hospital","08 9416 3666","18-56 Mills Street","Bentley",6102,"WA","East Metropolitan Health Service (WA)","Perth South","www.health.wa.gov.au/services/detail.cfm?Unit_ID=16","Metropolitan hospital","Public","100-199",-32.005332,115.927922,3,0,0,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=16"
"Berkeley Vale Private Hospital","02 4389 9100","Lorraine Avenue","Berkeley Vale",2261,"NSW","","","www.berkeleyvaleprivate.com.au","","Private","50-99",-33.337061,151.432784,2,0,0,0,0,"https://www.berkeleyvaleprivate.com.au"
"Berrigan Multi Purpose Service","03 5888 5300","137-143 Memorial Place","Berrigan",2712,"NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.662312,145.813035,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Berwick Eye and Surgicentre","03 9768 9210","22 Langmore Lane","Berwick",3806,"Vic","","","www.berwickeye.com.au","","Private","<50",-38.033667,145.346487,1,0,0,0,0,"https://www.berwickeye.com.au"
"Bethesda Hospital","08 9340 6300","25 Queenslea Drive","Claremont",6010,"WA","","","www.bethesda.asn.au","","Private","50-99",-31.986967,115.778484,2,0,0,0,0,"https://www.bethesda.asn.au"
"Beverley Hospital","08 9646 3200","Sewell Street","Beverley",6304,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=18","Regional hospital","Public","<50",-32.102825,116.922962,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=18"
"Biggenden Hospital","07 4127 6400","Alice Street","Biggenden",4621,"Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-biggenden.asp","Regional hospital","Public","<50",-25.506406,152.051099,1,0,1,0,0,"https://www.health.qld.gov.au/services/widebay/wb-biggenden.asp"
"Biloela Hospital","07 4992 7000","2 Hospital Road","Biloela",4715,"Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/biloela.asp","Small hospital","Public","<50",-24.395813,150.517491,1,0,0,1,0,"https://www.health.qld.gov.au/services/central-queensland/biloela.asp"
"Bingara Multi Purpose Service","02 6728 0100","Keera Street","Bingara",2404,"NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-29.864055,150.579235,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Blackall Hospital","07 4650 7700","Shamrock Street","Blackall",4472,"Qld","Central West (Qld)","Western Queensland","www.health.qld.gov.au/services/centralwest/cwest_blackall_hosp.asp","Regional hospital","Public","<50",-24.422705,145.449349,1,0,1,0,0,"https://www.health.qld.gov.au/services/centralwest/cwest_blackall_hosp.asp"
"Blacktown Hospital","02 9881 8000","Blacktown Road","Blacktown",2148,"NSW","Western Sydney","Western Sydney","http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital","Large metropolitan hospital with an emergency department","Public","200-500",-33.775552,150.917537,4,1,0,3,0,"http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital"
"Blackwater Hospital","07 4980 1800","Mackenzie Street","Blackwater",4717,"Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/blackwater.asp","Regional hospital","Public","<50",-23.571873,148.878219,1,0,1,0,0,"https://www.health.qld.gov.au/services/central-queensland/blackwater.asp"
"Blayney Multi Purpose Service","02 6368 9000","3 Osman Street","Blayney",2799,"NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-33.537728,149.248988,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Blue Mountains Hospital","02 4784 6500","Lot 3 Woodlands Road","Katoomba",2780,"NSW","Nepean Blue Mountains","Nepean Blue Mountains","www.nbmlhd.health.nsw.gov.au/Blue-Mountains-Hospital","Small hospital with an emergency department","Public","50-99",-33.705329,150.32111,2,1,0,1,0,"https://www.nbmlhd.health.nsw.gov.au/Blue-Mountains-Hospital"
"Boddington Hospital","08 9883 4444","46-53 Hotham Avenue","Boddington",6390,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=19","Regional hospital","Public","<50",-32.803715,116.475774,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=19"
"Boggabri Multi Purpose Service","02 6749 7000","3 Wee Waa Street","Boggabri",2382,"NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-30.711502,150.040014,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Bombala Multi Purpose Service","02 6458 5777","126-128 Wellington Street","Bombala",2632,"NSW","Southern NSW","South Eastern NSW","","Regional hospital with an emergency department","Public","<50",-36.917513,149.235372,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Bonalbo Hospital","02 6665 1203","Clarence Way","Bonalbo",2469,"NSW","Northern NSW","North Coast","","Regional hospital","Public","<50",-28.733777,152.622789,1,0,1,0,0,"https://www.myhospitals.gov.au"
"Booleroo Centre District Hospital and Health Services","08 8667 2211","Stephens Street","Booleroo Centre",5482,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/booleroohospital","Regional hospital","Public","<50",-32.877911,138.350958,1,0,1,0,0,"https://www.sahealth.sa.gov.au/booleroohospital"
"Boonah Hospital","07 5463 3300","11-17 Leonard Street","Boonah",4310,"Qld","West Moreton","Darling Downs and West Moreton","www.health.qld.gov.au/services/westmoreton/boonah-hs.asp","Regional hospital","Public","<50",-27.999128,152.678943,1,0,1,0,0,"https://www.health.qld.gov.au/services/westmoreton/boonah-hs.asp"
"Boorowa Multi Purpose Service","02 6385 3004","62-80 Dry Street","Boorowa",2586,"NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-34.442822,148.727073,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Boort District Health","03 5451 5200","31 Kiniry Street","Boort",3537,"Vic","Boort District Health","Murray","www.bdh.vic.gov.au","Regional hospital","Public","<50",-36.111703,143.727285,1,0,1,0,0,"https://www.bdh.vic.gov.au"
"Bordertown Memorial Hospital","08 8752 9000","23 South Terrace","Bordertown",5268,"SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/bordertownhospital","Small hospital","Public","<50",-36.312133,140.766438,1,0,0,1,0,"https://www.sahealth.sa.gov.au/bordertownhospital"
"Bourke Multi Purpose Service","02 6870 8888","26 Tarcoon Street","Bourke",2840,"NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-30.092823,145.947983,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Bourke Street Health Service","02 4823 7800","234 Bourke Street","Goulburn",2580,"NSW","Southern NSW","South Eastern NSW","","Regional hospital","Public","<50",-34.748721,149.719321,1,0,1,0,0,"https://www.myhospitals.gov.au"
"Bowen Hospital","07 4786 8222","Gregory Street","Bowen",4805,"Qld","Mackay","Northern Queensland","www.health.qld.gov.au/services/mackay/bowen_hosp.asp","Small hospital","Public","<50",-20.007104,148.240327,1,0,0,1,0,"https://www.health.qld.gov.au/services/mackay/bowen_hosp.asp"
"Bowral Hospital","02 4861 0200","Lot 3 Mona Road","Bowral",2576,"NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/bowral/","Medium regional hospital with an emergency department","Public","50-99",-34.485043,150.423796,2,1,1,2,0,"https://www.swslhd.health.nsw.gov.au/bowral/"
"Box Hill Hospital","1300 342 255","8 Arnold Street","Box Hill",3128,"Vic","Eastern Health (Vic)","Eastern Melbourne","https://www.easternhealth.org.au/locations/box-hill-hospital","Large metropolitan hospital with an emergency department","Public",">500",-37.813682,145.119094,5,1,0,3,0,"https://www.easternhealth.org.au/locations/box-hill-hospital"
"Boyup Brook Soldiers Memorial Hospital","08 9765 0222","Hospital Road","Boyup Brook",6244,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=20","Regional hospital","Public","<50",-33.839231,116.390639,1,0,1,0,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=20"
"Braeside Hospital","02 9616 8600","340 Prairie Vale Road","Prairiewood",2176,"NSW","South Western Sydney","South Western Sydney","","Metropolitan hospital","Public","50-99",-33.861917,150.902192,2,0,0,0,0,"https://www.myhospitals.gov.au"
"Braidwood Multi Purpose Service","02 4842 2566","77 Monkittee Street","Braidwood",2622,"NSW","Southern NSW","South Eastern NSW","","Regional hospital with an emergency department","Public","<50",-35.443216,149.805302,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Brewarrina Multi Purpose Service","02 6830 5000","56 Doyle Street","Brewarrina",2839,"NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-29.961627,146.863796,1,1,1,0,0,"https://www.myhospitals.gov.au"
"Bridgetown Hospital","08 9782 1222","16-18 Peninsula Road","Bridgetown",6255,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=22","Small hospital","Public","<50",-33.951681,116.132183,1,0,0,1,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=22"
"Brindabella Endoscopy and Day Surgery Centre","02 6282 7788","Suite 7, 5 Dann Close","Garran",2605,"ACT","","","http://www.curagroup.com.au/brindabella-endoscopy-centre","","Private","<50",-35.3495,149.1031,1,0,0,0,0,"http://www.curagroup.com.au/brindabella-endoscopy-centre"
"Brisbane Endoscopy Services","07 3344 1844","Suites 16-18/259 McCullough Street","Sunnybank",4109,"Qld","","","www.gastros.com.au","","Private","<50",-27.572418,153.061985,1,0,0,0,0,"https://www.gastros.com.au"
