"Name","FinYear","variable","value"
"Blacktown Hospital","2012_13","Rate.per.10.000.bed.days",1.08
"Blacktown Hospital","2013_14","Rate.per.10.000.bed.days",1.28
"Blacktown Hospital","2014_15","Rate.per.10.000.bed.days",1.18
"Blacktown Hospital","2015_16","Rate.per.10.000.bed.days",1.11
"Blacktown Hospital","2016_17","Rate.per.10.000.bed.days",0.51
"Blayney Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Blayney Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Blayney Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Blayney Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Blayney Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Blayney Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Blayney Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Blue Mountains Hospital","2010_11","Rate.per.10.000.bed.days",0.4
"Blue Mountains Hospital","2011_12","Rate.per.10.000.bed.days",0.8
"Blue Mountains Hospital","2012_13","Rate.per.10.000.bed.days",0
"Blue Mountains Hospital","2013_14","Rate.per.10.000.bed.days",0.77
"Blue Mountains Hospital","2014_15","Rate.per.10.000.bed.days",0
"Blue Mountains Hospital","2015_16","Rate.per.10.000.bed.days",0.72
"Blue Mountains Hospital","2016_17","Rate.per.10.000.bed.days",0.36
"Boggabri Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Boggabri Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Boggabri Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Boggabri Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Boggabri Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Boggabri Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Boggabri Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Bombala Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Bombala Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Bombala Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Bombala Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Bombala Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Bombala Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Bombala Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Bonalbo Hospital","2010_11","Rate.per.10.000.bed.days",NA
"Bonalbo Hospital","2011_12","Rate.per.10.000.bed.days",NA
"Bonalbo Hospital","2012_13","Rate.per.10.000.bed.days",NA
"Bonalbo Hospital","2013_14","Rate.per.10.000.bed.days",NA
"Bonalbo Hospital","2014_15","Rate.per.10.000.bed.days",NA
"Bonalbo Hospital","2015_16","Rate.per.10.000.bed.days",NA
"Bonalbo Hospital","2016_17","Rate.per.10.000.bed.days",NA
"Boorowa Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Boorowa Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Boorowa Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Boorowa Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Boorowa Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Boorowa Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Boorowa Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Bourke Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Bourke Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Bourke Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Bourke Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Bourke Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Bourke Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Bourke Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Bourke Street Health Service","2010_11","Rate.per.10.000.bed.days",0.9
"Bourke Street Health Service","2011_12","Rate.per.10.000.bed.days",0
"Bourke Street Health Service","2012_13","Rate.per.10.000.bed.days",0.94
"Bourke Street Health Service","2013_14","Rate.per.10.000.bed.days",0
"Bourke Street Health Service","2014_15","Rate.per.10.000.bed.days",0
"Bourke Street Health Service","2015_16","Rate.per.10.000.bed.days",0
"Bourke Street Health Service","2016_17","Rate.per.10.000.bed.days",1.27
"Bowral Hospital","2010_11","Rate.per.10.000.bed.days",0.44
"Bowral Hospital","2011_12","Rate.per.10.000.bed.days",1.34
"Bowral Hospital","2012_13","Rate.per.10.000.bed.days",0
"Bowral Hospital","2013_14","Rate.per.10.000.bed.days",0.9
"Bowral Hospital","2014_15","Rate.per.10.000.bed.days",0.45
"Bowral Hospital","2015_16","Rate.per.10.000.bed.days",0.93
"Bowral Hospital","2016_17","Rate.per.10.000.bed.days",0.47
"Braeside Hospital","2010_11","Rate.per.10.000.bed.days",0
"Braeside Hospital","2011_12","Rate.per.10.000.bed.days",0.8
"Braeside Hospital","2012_13","Rate.per.10.000.bed.days",0.79
"Braeside Hospital","2013_14","Rate.per.10.000.bed.days",0.42
"Braeside Hospital","2014_15","Rate.per.10.000.bed.days",0
"Braeside Hospital","2015_16","Rate.per.10.000.bed.days",0
"Braeside Hospital","2016_17","Rate.per.10.000.bed.days",0
"Braidwood Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Braidwood Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Braidwood Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Braidwood Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Braidwood Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Braidwood Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Braidwood Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Brewarrina Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Brewarrina Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Brewarrina Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Brewarrina Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Brewarrina Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Brewarrina Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Brewarrina Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Broken Hill Hospital","2010_11","Rate.per.10.000.bed.days",0.4
"Broken Hill Hospital","2011_12","Rate.per.10.000.bed.days",0.86
"Broken Hill Hospital","2012_13","Rate.per.10.000.bed.days",0.45
"Broken Hill Hospital","2013_14","Rate.per.10.000.bed.days",0
"Broken Hill Hospital","2014_15","Rate.per.10.000.bed.days",0.4
"Broken Hill Hospital","2015_16","Rate.per.10.000.bed.days",0.78
"Broken Hill Hospital","2016_17","Rate.per.10.000.bed.days",1.01
"Bulahdelah Hospital","2010_11","Rate.per.10.000.bed.days",NA
"Bulahdelah Hospital","2011_12","Rate.per.10.000.bed.days",NA
"Bulahdelah Hospital","2012_13","Rate.per.10.000.bed.days",NA
"Bulahdelah Hospital","2013_14","Rate.per.10.000.bed.days",NA
"Bulahdelah Hospital","2014_15","Rate.per.10.000.bed.days",NA
"Bulahdelah Hospital","2015_16","Rate.per.10.000.bed.days",NA
"Bulahdelah Hospital","2016_17","Rate.per.10.000.bed.days",NA
"Bulli Hospital","2010_11","Rate.per.10.000.bed.days",0
"Bulli Hospital","2011_12","Rate.per.10.000.bed.days",0.53
"Bulli Hospital","2012_13","Rate.per.10.000.bed.days",0
"Bulli Hospital","2013_14","Rate.per.10.000.bed.days",0.52
"Bulli Hospital","2014_15","Rate.per.10.000.bed.days",0.53
"Bulli Hospital","2015_16","Rate.per.10.000.bed.days",0
"Bulli Hospital","2016_17","Rate.per.10.000.bed.days",0.54
"Byron Bay Hospital","2010_11","Rate.per.10.000.bed.days",NA
"Byron Bay Hospital","2011_12","Rate.per.10.000.bed.days",NA
"Byron Bay Hospital","2012_13","Rate.per.10.000.bed.days",0
"Byron Bay Hospital","2013_14","Rate.per.10.000.bed.days",0
"Byron Bay Hospital","2014_15","Rate.per.10.000.bed.days",NA
"Byron Bay Hospital","2015_16","Rate.per.10.000.bed.days",NA
"Byron Bay Hospital","2016_17","Rate.per.10.000.bed.days",NA
"Byron Central Hospital","2016_17","Rate.per.10.000.bed.days",0
"Calvary Hospital","2010_11","Rate.per.10.000.bed.days",0
"Calvary Hospital","2011_12","Rate.per.10.000.bed.days",0
"Calvary Hospital","2012_13","Rate.per.10.000.bed.days",0
"Calvary Hospital","2013_14","Rate.per.10.000.bed.days",0.26
"Calvary Hospital","2014_15","Rate.per.10.000.bed.days",0
"Calvary Hospital","2015_16","Rate.per.10.000.bed.days",0.27
"Calvary Hospital","2016_17","Rate.per.10.000.bed.days",0
"Calvary Mater Newcastle Hospital","2010_11","Rate.per.10.000.bed.days",3.6
"Calvary Mater Newcastle Hospital","2011_12","Rate.per.10.000.bed.days",2.15
"Calvary Mater Newcastle Hospital","2012_13","Rate.per.10.000.bed.days",3.12
"Calvary Mater Newcastle Hospital","2013_14","Rate.per.10.000.bed.days",2.48
"Calvary Mater Newcastle Hospital","2014_15","Rate.per.10.000.bed.days",3.15
"Calvary Mater Newcastle Hospital","2015_16","Rate.per.10.000.bed.days",1.79
"Calvary Mater Newcastle Hospital","2016_17","Rate.per.10.000.bed.days",0.64
"Camden Hospital","2010_11","Rate.per.10.000.bed.days",0
"Camden Hospital","2011_12","Rate.per.10.000.bed.days",0
"Camden Hospital","2012_13","Rate.per.10.000.bed.days",0
"Camden Hospital","2013_14","Rate.per.10.000.bed.days",0
"Camden Hospital","2014_15","Rate.per.10.000.bed.days",0
"Camden Hospital","2015_16","Rate.per.10.000.bed.days",0.41
"Camden Hospital","2016_17","Rate.per.10.000.bed.days",0
"Campbelltown Hospital","2010_11","Rate.per.10.000.bed.days",0.59
"Campbelltown Hospital","2011_12","Rate.per.10.000.bed.days",0.76
"Campbelltown Hospital","2012_13","Rate.per.10.000.bed.days",0.82
"Campbelltown Hospital","2013_14","Rate.per.10.000.bed.days",0.93
"Campbelltown Hospital","2014_15","Rate.per.10.000.bed.days",1.07
"Campbelltown Hospital","2015_16","Rate.per.10.000.bed.days",0.51
"Campbelltown Hospital","2016_17","Rate.per.10.000.bed.days",0.47
"Canowindra Hospital","2010_11","Rate.per.10.000.bed.days",NA
"Canowindra Hospital","2011_12","Rate.per.10.000.bed.days",NA
"Canowindra Hospital","2012_13","Rate.per.10.000.bed.days",NA
"Canowindra Hospital","2013_14","Rate.per.10.000.bed.days",NA
"Canowindra Hospital","2014_15","Rate.per.10.000.bed.days",NA
"Canowindra Hospital","2015_16","Rate.per.10.000.bed.days",NA
"Canowindra Hospital","2016_17","Rate.per.10.000.bed.days",NA
"Canterbury Hospital","2010_11","Rate.per.10.000.bed.days",0.69
"Canterbury Hospital","2011_12","Rate.per.10.000.bed.days",0.17
"Canterbury Hospital","2012_13","Rate.per.10.000.bed.days",0.52
"Canterbury Hospital","2013_14","Rate.per.10.000.bed.days",0.18
"Canterbury Hospital","2014_15","Rate.per.10.000.bed.days",0.57
"Canterbury Hospital","2015_16","Rate.per.10.000.bed.days",0.9
"Canterbury Hospital","2016_17","Rate.per.10.000.bed.days",0.16
"Casino Hospital","2010_11","Rate.per.10.000.bed.days",0.99
"Casino Hospital","2011_12","Rate.per.10.000.bed.days",1.98
"Casino Hospital","2012_13","Rate.per.10.000.bed.days",0
"Casino Hospital","2013_14","Rate.per.10.000.bed.days",0
"Casino Hospital","2014_15","Rate.per.10.000.bed.days",1.22
"Casino Hospital","2015_16","Rate.per.10.000.bed.days",1.3
"Casino Hospital","2016_17","Rate.per.10.000.bed.days",0
"Cessnock Hospital","2010_11","Rate.per.10.000.bed.days",1.5
"Cessnock Hospital","2011_12","Rate.per.10.000.bed.days",0.72
"Cessnock Hospital","2012_13","Rate.per.10.000.bed.days",1.44
"Cessnock Hospital","2013_14","Rate.per.10.000.bed.days",2.16
"Cessnock Hospital","2014_15","Rate.per.10.000.bed.days",0.64
"Cessnock Hospital","2015_16","Rate.per.10.000.bed.days",1.47
"Cessnock Hospital","2016_17","Rate.per.10.000.bed.days",0.67
"Cobar Health Service","2010_11","Rate.per.10.000.bed.days",NA
"Cobar Health Service","2011_12","Rate.per.10.000.bed.days",NA
"Cobar Health Service","2012_13","Rate.per.10.000.bed.days",NA
"Cobar Health Service","2013_14","Rate.per.10.000.bed.days",NA
"Cobar Health Service","2014_15","Rate.per.10.000.bed.days",NA
"Cobar Health Service","2015_16","Rate.per.10.000.bed.days",NA
"Cobar Health Service","2016_17","Rate.per.10.000.bed.days",NA
"Coffs Harbour Hospital","2010_11","Rate.per.10.000.bed.days",1.39
"Coffs Harbour Hospital","2011_12","Rate.per.10.000.bed.days",0.94
"Coffs Harbour Hospital","2012_13","Rate.per.10.000.bed.days",1.12
"Coffs Harbour Hospital","2013_14","Rate.per.10.000.bed.days",0.52
"Coffs Harbour Hospital","2014_15","Rate.per.10.000.bed.days",0.48
"Coffs Harbour Hospital","2015_16","Rate.per.10.000.bed.days",0.43
"Coffs Harbour Hospital","2016_17","Rate.per.10.000.bed.days",0.24
"Coledale Hospital","2010_11","Rate.per.10.000.bed.days",0
"Coledale Hospital","2011_12","Rate.per.10.000.bed.days",0
"Coledale Hospital","2012_13","Rate.per.10.000.bed.days",0.79
"Coledale Hospital","2013_14","Rate.per.10.000.bed.days",0
"Coledale Hospital","2014_15","Rate.per.10.000.bed.days",0.75
"Coledale Hospital","2015_16","Rate.per.10.000.bed.days",0
"Coledale Hospital","2016_17","Rate.per.10.000.bed.days",0.76
"Collarenebri Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Collarenebri Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Collarenebri Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Collarenebri Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Collarenebri Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Collarenebri Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Collarenebri Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Concord Hospital","2010_11","Rate.per.10.000.bed.days",1.72
"Concord Hospital","2011_12","Rate.per.10.000.bed.days",1.25
"Concord Hospital","2012_13","Rate.per.10.000.bed.days",0.97
"Concord Hospital","2013_14","Rate.per.10.000.bed.days",1.24
"Concord Hospital","2014_15","Rate.per.10.000.bed.days",1.06
"Concord Hospital","2015_16","Rate.per.10.000.bed.days",0.9
"Concord Hospital","2016_17","Rate.per.10.000.bed.days",0.88
"Condobolin Health Service","2010_11","Rate.per.10.000.bed.days",NA
"Condobolin Health Service","2011_12","Rate.per.10.000.bed.days",NA
"Condobolin Health Service","2012_13","Rate.per.10.000.bed.days",NA
"Condobolin Health Service","2013_14","Rate.per.10.000.bed.days",NA
"Condobolin Health Service","2014_15","Rate.per.10.000.bed.days",NA
"Condobolin Health Service","2015_16","Rate.per.10.000.bed.days",NA
"Condobolin Health Service","2016_17","Rate.per.10.000.bed.days",NA
"Coolah Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Coolah Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Coolah Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Coolah Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Coolah Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Coolah Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Coolah Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Coolamon Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Coolamon Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Coolamon Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Coolamon Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Coolamon Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Coolamon Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Coolamon Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Cooma Hospital","2010_11","Rate.per.10.000.bed.days",1.09
"Cooma Hospital","2011_12","Rate.per.10.000.bed.days",0
"Cooma Hospital","2012_13","Rate.per.10.000.bed.days",0
"Cooma Hospital","2013_14","Rate.per.10.000.bed.days",0
"Cooma Hospital","2014_15","Rate.per.10.000.bed.days",1.02
"Cooma Hospital","2015_16","Rate.per.10.000.bed.days",0
"Cooma Hospital","2016_17","Rate.per.10.000.bed.days",1.02
"Coonabarabran Health Service","2010_11","Rate.per.10.000.bed.days",0
"Coonabarabran Health Service","2011_12","Rate.per.10.000.bed.days",NA
"Coonabarabran Health Service","2012_13","Rate.per.10.000.bed.days",NA
"Coonabarabran Health Service","2013_14","Rate.per.10.000.bed.days",NA
"Coonabarabran Health Service","2014_15","Rate.per.10.000.bed.days",NA
"Coonabarabran Health Service","2015_16","Rate.per.10.000.bed.days",NA
"Coonabarabran Health Service","2016_17","Rate.per.10.000.bed.days",NA
"Coonamble Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Coonamble Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Coonamble Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Coonamble Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Coonamble Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Coonamble Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Coonamble Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Cootamundra Hospital","2010_11","Rate.per.10.000.bed.days",1.86
"Cootamundra Hospital","2011_12","Rate.per.10.000.bed.days",1.74
"Cootamundra Hospital","2012_13","Rate.per.10.000.bed.days",0
"Cootamundra Hospital","2013_14","Rate.per.10.000.bed.days",0
"Cootamundra Hospital","2014_15","Rate.per.10.000.bed.days",0
"Cootamundra Hospital","2015_16","Rate.per.10.000.bed.days",0
"Cootamundra Hospital","2016_17","Rate.per.10.000.bed.days",0
"Coraki Hospital","2010_11","Rate.per.10.000.bed.days",NA
"Coraki Hospital","2011_12","Rate.per.10.000.bed.days",NA
"Coraki Hospital","2012_13","Rate.per.10.000.bed.days",NA
"Coraki Hospital","2013_14","Rate.per.10.000.bed.days",NA
"Coraki Hospital","2014_15","Rate.per.10.000.bed.days",NA
"Coraki Hospital","2015_16","Rate.per.10.000.bed.days",NA
"Coraki Hospital","2016_17","Rate.per.10.000.bed.days",NA
"Coral Tree Family Centre","2010_11","Rate.per.10.000.bed.days",NA
